State,Coal,Gas,Diesel,Nuclear,Hydro,RES,Total,Year
Andaman  & Nicobar,0,0,60.05,0,0,5.35,65.4,2018
Andaman  & Nicobar,0,0,60.05,0,0,10.35,70.4,2019
Andaman  & Nicobar,0,0,60.05,0,0,10.35,70.4,2020
Andaman  & Nicobar,0,0,40.05,0,0,10.35,50.4,2021
Andaman  & Nicobar,0,0,40.05,0,0,10.65,50.7,2022
Andhra Pradesh,8363.88,3370.4,36.8,275.78,3734.53,1035.74,15540.13,2018
Andhra Pradesh,8573.48,3370.4,36.8,275.78,3734.53,1294.49,17085.48,2019
Andhra Pradesh,9583.08,3370.4,36.8,275.78,3734.53,1530.48,18250.07,2020
Andhra Pradesh,7029.21,3182.65,16.97,127.16,1758.87,2192.6,19307.47,2021
Andhra Pradesh,15752.68,9847.1,8296.04,8424.83,10521.87,9506.42,20967.89,2022
Arunachal Pradesh,12.35,43.06,0,0,97.57,104.88,257.86,2021
Arunachal Pradesh,0,21.05,15.88,0,97.57,94.54,229.04,2018
Arunachal Pradesh,0,32.05,15.88,0,97.57,103.91,249.41,2019
Arunachal Pradesh,0,43.06,15.88,0,97.57,103.93,260.44,2020
Arunachal Pradesh,12.35,46.83,0,0,97.57,104.88,271.63,2022      
Assam,60,478.52,20.69,0,429.72,31.11,1020.04,2018
Assam,60,598.52,20.69,0,429.72,31.11,1140.04,2019
Assam,60,718.62,20.69,0,429.72,34.11,1263.14,2020
Assam,187,718.62,0,0,429.72,34.11,1389.45,2021
Assam,187,783.55,0,0,429.72,45.29,1505.56,2022
Bihar,1624.7,0,0,0,129.43,95.8,1849.93,2018
Bihar,1954.7,0,0,0,129.43,114,2198.13,2019
Bihar,1954.7,0,0,0,129.43,114.12,2398.25,2020
Bihar,2516.24,0,0,0,129.43,114.12,2759.79,2021
Bihar,2741.24,0,0,0,129.43,259.11,3129.78,2022
Chandigarh,29.81,15.32,0,8.84,51.74,0,105.71,2018
Chandigarh,32.54,15.32,0,8.84,52.88,0,109.58,2019
Chandigarh,32.54,15.32,0,8.84,56.4,2,115.1,2020
Chandigarh,32.54,15.32,0,8.84,62.32,5.04,124.06,2021
Chandigarh,32.54,15.32,0,8.84,62.74,16.2,135.64,2022
Chhattisgarh,13953.69,0,0,47.52,120,390.08,5624.61,2021
Chhattisgarh,5175.94,0,0,47.52,120,281.15,6264.91,2018
Chhattisgarh,6388.49,0,0,47.52,120,308.9,7075.01,2019
Chhattisgarh,10683.49,0,0,47.52,120,324,8111.29,2020
Chhattisgarh,15802.54,0,0,47.52,120,439.69,9209.75,2022
Dadra & Nagar,49.92,27.1,0,8.46,0,0,85.48,2021
Dadra & Nagar Naveli,38.82,27.1,0,8.46,0,0,74.38,2018
Dadra & Nagar Naveli,44.37,27.1,0,8.46,0,0,79.93,2019
Dadra & Nagar Naveli,44.37,27.1,0,8.46,0,0,79.93,2020
Dadra & Nagar Naveli,54.22,27.1,0,8.46,0,0.6,90.38,2022
Daman & Diu,32.82,4.2,0,7.38,0,0,44.4,2018
Daman & Diu,36.71,4.2,0,7.38,0,0,48.29,2019
Daman & Diu,36.71,4.2,0,7.38,0,0,48.29,2020
Daman & Diu,40.58,4.2,0,7.38,0,0,56.16,2021
Daman & Diu,43.38,4.2,0,7.38,0,4,58.96,2022
Delhi,4490.41,1866.01,0,122.08,666.12,18.53,7163.15,2018
Delhi,4556.37,2116.01,0,122.08,688.35,16,7498.81,2019
Delhi,4927.62,2366.01,0,122.08,762.64,21.14,8199.49,2020
Delhi,5001.87,2366.01,0,122.08,822.05,34.71,8346.72,2021
Delhi,5001.87,2116,0,122.08,762.6,54.78,8057.38,2022
Goa,314.97,48,0,25.8,0,30.05,400.02,2018
Goa,326.17,48,0,25.8,0,0.05,405.02,2019
Goa,326.17,48,0,25.8,0,0.05,408.2,2020
Goa,331.35,48,0,25.8,0,0.05,412.5,2021
Goa,338.6,48,0,25.8,0,0.1,418.82,2022
Gujarat,14578.35,4245.49,17.48,559.32,772,3714.9,23887.54,2018
Gujarat,15738.27,4978.99,17.48,559.32,772,4203.06,26269.12,2019
Gujarat,15738.27,6906.09,17.48,559.32,772,4430.2,28423.36,2020
Gujarat,16353.72,6806.09,0,559.32,772,4973.15,30464.28,2021
Gujarat,16510.62,6806.09,0,559.32,772,5681.97,32330,2022
Haryana,5954,560.29,3.92,109.16,1363.18,123.2,8113.75,2018
Haryana,6082.03,560.29,3.92,109.16,1367.72,123.2,8246.32,2019
