State,Year
Andaman  & Nicobar,0
Andaman  & Nicobar,0
Andaman  & Nicobar,0
Andaman  & Nicobar,0
Andaman  & Nicobar,0
Andaman  & Nicobar,0
Andaman  & Nicobar,0
Andhra Pradesh,49.3868
Andhra Pradesh,49.7
Andhra Pradesh,86.8
Andhra Pradesh,88.4
Andhra Pradesh,89.6
Andhra Pradesh,91.1
Andhra Pradesh,92.18
Arunachal Pradesh,1.382611
Arunachal Pradesh,1.255
Arunachal Pradesh,1.38
Arunachal Pradesh,1.42
Arunachal Pradesh,1.49
Arunachal Pradesh,1.57
Arunachal Pradesh,1.633
Assam,31.16927
Assam,30.94
Assam,31.86
Assam,32.28
Assam,33.4
Assam,33.9
Assam,34.492
Bihar,103.8046
Bihar,104
Bihar,106
Bihar,107
Bihar,107.5
Bihar,108.1
Bihar,108.92
Chandigarh,0
Chandigarh,0
Chandigarh,0
Chandigarh,0
Chandigarh,0
Chandigarh,0
Chandigarh,0
Chhattisgarh,26.7
Chhattisgarh,27
Chhattisgarh,26.7
Chhattisgarh,27
Chhattisgarh,27.9
Chhattisgarh,28.2
Chhattisgarh,28.84 
Dadra & Nagar Naveli,0
Dadra & Nagar Naveli,0
Dadra & Nagar Naveli,0
Dadra & Nagar Naveli,0
Dadra & Nagar Naveli,0
Dadra & Nagar Naveli,0
Dadra & Nagar Naveli,0
Daman & Diu,0
Daman & Diu,0
Daman & Diu,0
Daman & Diu,0
Daman & Diu,0
Daman & Diu,0
Daman & Diu,0
Delhi,0
Delhi,0
Delhi,0
Delhi,0
Delhi,0
Delhi,0
Delhi,0
Goa,1.457723
Goa,1.817
Goa,1.88
Goa,2.3
Goa, 2.68
Goa,2.89
Goa,3.1046 
Gujarat,60.38363
Gujarat,61.8
Gujarat,62.7
Gujarat,63.9
Gujarat,65.2
Gujarat,66.1
Gujarat,67.16
Haryana,25.35308
Haryana,25.8
Haryana,26.1
Haryana,26.5 
Haryana,26.9 
Haryana,27.6
Haryana,27.96
Himachal Pradesh,6.864602
Himachal Pradesh ,6.856
Himachal Pradesh,6.92
Himachal Pradesh ,7.1
Himachal Pradesh , 7.34
Himachal Pradesh ,7.5
Himachal Pradesh ,7.6288
Jammu & Kashmir,12.54893
Jammu & Kashmir,12.8
Jammu & Kashmir,13.1
Jammu & Kashmir,13.3
Jammu & Kashmir, 13.6
Jammu & Kashmir,13.9
Jammu & Kashmir,14.12 
Jharkhand,32.96624
Jharkhand,33.9
Jharkhand,34.5
Jharkhand,34.8
Jharkhand,35.2
Jharkhand,35.7
Jharkhand,36.06
Karnataka,61.1307
Karnataka,62
Karnataka,62.8
Karnataka,64.06
Karnataka, 65.8
Karnataka,66
Karnataka,66.8 
Kerala,33.38768
Kerala,34.8
Kerala,35.2
Kerala,35.7
Kerala,36
Kerala,36.6
Kerala,36.96 
laksha-,0
Lakshadweep,0
Lakshadweep,0
Lakshadweep,0
Lakshadweep,0
Madhya Pradesh,72.59757
Madhya Pradesh,73.34
Madhya Pradesh,74.7
Madhya Pradesh,75.9
Madhya Pradesh,76.4
Madhya Pradesh, 77.9
Madhya Pradesh,78.812
Maharashtra,112.373
Maharashtra,114.2
Maharashtra,117
Maharashtra,118.3
Maharashtra,118.7
Maharashtra,119.6
Maharastra,120.68
Manipur,2.721756
Manipur,2.85
Manipur,2.88
Manipur, 2.90
Manipur,2.94
Manipur,2.97
Manipur,3.21
Meghalaya,2.964007
Meghalaya,3.05
Meghalaya,3.14
Meghalaya,3.23
Meghalaya,3.32
Meghalaya,3.40 
Meghalaya,3.47
Mizoram,1.091014
Mizoram,1.12
Mizoram,1.14
Mizoram,1.16
Mizoram,1.19
Mizoram,1.25
Mizoram,1.51
Nagaland,1.980602
Nagaland,2.275
Nagaland,2.7
Nagaland,2.86
Nagaland,2.92
Nagaland, 2.98
Nagaland,3.121
Orissa,41.94736
Orissa,42.7
Orissa,43.1
Orissa,43.7
Orissa,44.3
Orissa,44.9
Orissa,45.34
Pondichery,0
Puducherry,0
Pondichery,0
Puducherry,0
Puducherry,0
Puducherry,0
Puducherry,0
Punjab,27.70424
Punjab,27.98
Punjab,28.4
Punjab,28.7
Punjab,29.1
Punjab,29.6
Punjab,29.924
Rajasthan,68.62101
Rajasthan,69.84
Rajasthan,71.08
Rajasthan,71.69
Rajasthan,72.92
Rajasthan,74.79
Rajasthan,74.888
Sikkim,0.607688
Sikkim,0.619
Sikkim,0.6222
Sikkim,0.627
Sikkim,0.635
Sikkim,0.648
Sikkim,0.6538
Tamil Nadu,72.13896
Tamil Nadu,67.86
Tamil Nadu,74.3
Tamil Nadu,75.4
Tamil Nadu, 76.6
Tamil Nadu,77.8
Tamil Nadu,79.788
Telangana,72.13896
Telangana,67.86
Telangana,74.3
Telangana,75.4
Telangana, 76.6
Telangana,77.8
Telangana,79.788
Tripura,3.671032
Tripura,3.7
Tripura,3.79
Tripura, 3.84
Tripura,3.88
Tripura,3.94
Tripura,4.42
Uttar Pradesh,199.2815
Uttar Pradesh,204.2
Uttar Pradesh,208.1
Uttar Pradesh,212.6
Uttar Pradesh,215.6
Uttar Pradesh,218.4
Uttar Pradesh,219.24
Uttrakhnad,10.11675
Uttrakhnad,10.12
Uttrakhnad,10.14
Uttrakhnad,10.17
Uttrakhnad,10.22
Uttrakhnad,10.28 
Uttranchal,10.32
West Bengal,91.34774
West Bengal,92.32
West Bengal,93
West Bengal,93.7
West Bengal,94.1
West Bengal,94.9
West Bengal,95.416
